Beer_ID,Beer_Name,ABV,IBU,Brewery
1541,Double Play Pilsner,0.052,21,Blue Blood Brewing Company
1025,N Street Drive-In 50th Anniversary IPA,0.086,80,Blue Blood Brewing Company
2490,Professor Black,0.061,40,Blue Owl Brewing
2489,Little Boss,0.038,7,Blue Owl Brewing
2488,Van Dayum!,0.057,32,Blue Owl Brewing
2487,Spirit Animal,0.051,35,Blue Owl Brewing
2382,Fat Paczki,0.075,,Brewery Vivant
2381,Earth-Like Planets,0.054,,Brewery Vivant
1096,Tampa Pale Ale,0.062,,Brindle Dog Brewing Company
1095,Orange Grove Wheat Ale,,,Brindle Dog Brewing Company
504,Roler Bock (Current),0.072,,Buckbean Brewing Company
870,THP White (2006),,,Cans Bar and Canteen
869,THP Amber (2006),,,Cans Bar and Canteen
868,THP Light (2006),,,Cans Bar and Canteen
867,THP Dark (2006),,,Cans Bar and Canteen
61,Supper Club Lager,0.055,,Capital Brewery
2210,Special Release,,,Cedar Creek Brewery
1163,WinterWonderGrass Festival Ale,0.0499,15,Crazy Mountain Brewing Company
940,Boohai Red Ale,0.06,,Crazy Mountain Brewing Company
731,Kaleidoscope Collaboration 2012,0.055,,Devil's Canyon Brewery
944,Dock Street Amber Beer (1992),0.046,,Dock Street Brewery
524,Dolores River Hefeweizen,,,Dolores River Brewery
450,Dolores River ESB,0.058,24,Dolores River Brewery
449,Snaggletooth Double Pale Ale,0.062,40,Dolores River Brewery
448,Dolores River Pale Ale,0.058,,Dolores River Brewery
447,Dolores River Dry Stout,0.049,20,Dolores River Brewery
446,Dolores River Mild,0.05,,Dolores River Brewery
520,Inclined Plane Ale,0.042,,Flat Rock Brewing Company
2322,Fort Pitt Ale,,,Fort Pitt Brewing Company
142,Black Iron India Pale Ale,0.063,65,Grand Canyon Brewing Company
506,Great Falls Select Pale Ale,0.05,30,Harvest Moon Brewing Company
1784,Appreciation Ale,0.07,40,Iron Hill Brewery & Restaurant
2595,Bastian,0.062,,James Page Brewing Company
2472,U. P. Witbier,0.055,,Keweenaw Brewing Company
779,November Gale Pale Ale,0.05,5,Keweenaw Brewing Company
364,Olde Ore Dock Scottish Ale,0.07,,Keweenaw Brewing Company
60,Widow Maker Black Ale,0.052,25,Keweenaw Brewing Company
59,Lift Bridge Brown Ale,0.05,,Keweenaw Brewing Company
58,Pick Axe Blonde Ale,0.049,21,Keweenaw Brewing Company
57,Red Jacket Amber Ale,0.051,32,Keweenaw Brewing Company
273,AXL Pale Ale,0.052,,MillKing It Productions
1796,The CROWLER™,,,Oskar Blues Brewery
1790,CAN'D AID Foundation,,,Oskar Blues Brewery
1752,Icey.P.A.,0.07,65,Oskar Blues Brewery
1750,Birth IPA,,,Oskar Blues Brewery
1056,Pete's Wicked Pale Ale (1997),0.05,,Pete's Brewing Company
335,Ponderosa IPA,0.065,70,Prescott Brewing Company
64,Liquid Amber Ale,0.05,17,Prescott Brewing Company
710,Rye Porter,,,Revolution Brewing
219,Miner's Gold,0.051,,Revolution Brewing
1724,Cal and Co. Black Cherry Porter,0.056,20,Rochester Mills Brewing Company
307,Santa Fe Oktoberfest,0.06,38,Santa Fe Brewing Company
774,Autumnal Molé Stout,0.058,,Ska Brewing Company
763,Hopluia (2004),0.052,,Spilker Ales
1948,30 Min Coma,0.045,65,Sun King Brewing Company
1347,Bourbon Barrel Cowbell,,,Sun King Brewing Company
963,Manhattan Gold Lager (1990),,,The Manhattan Brewing Company
121,Cornstalker Dark Wheat,0.052,12,Thunderhead Brewing Company
652,West Sixth IPA,0.007,80,West Sixth Brewing
2364,Royal Lager,,,Weston Brewing Company
2344,O’Malley’s Stout,0.055,,Weston Brewing Company
2342,O’Malley’s Irish Style Cream Ale,0.049,,Weston Brewing Company
