Beer_Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brewery,City,State,Ale,Category
Pub Beer,1436,0.05,26.75,409,American Pale Lager,12,10 Barrel Brewing Company,Bend,OR,Other,Lager
Devil's Cup,2265,0.066,44.619354838709675,178,American Pale Ale (APA),12,18th Street Brewery,Gary,IN,Ale,Ale
Rise of the Phoenix,2264,0.071,67.57516339869281,178,American IPA,12,18th Street Brewery,Gary,IN,IPA,IPA
Sinister,2263,0.09,92.45454545454545,178,American Double / Imperial IPA,12,18th Street Brewery,Gary,IN,IPA,IPA
Sex and Candy,2262,0.075,67.57516339869281,178,American IPA,12,18th Street Brewery,Gary,IN,IPA,IPA
Black Exodus,2261,0.077,28.09090909090909,178,Oatmeal Stout,12,18th Street Brewery,Gary,IN,Other,Stout
Lake Street Express,2260,0.045,44.619354838709675,178,American Pale Ale (APA),12,18th Street Brewery,Gary,IN,Ale,Ale
Foreman,2259,0.065,31.625,178,American Porter,12,18th Street Brewery,Gary,IN,Other,Porter
Jade,2258,0.055,44.619354838709675,178,American Pale Ale (APA),12,18th Street Brewery,Gary,IN,Ale,Ale
Cone Crusher,2131,0.086,92.45454545454545,178,American Double / Imperial IPA,12,18th Street Brewery,Gary,IN,IPA,IPA
Sophomoric Saison,2099,0.072,28.391304347826086,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary,IN,Ale,Ale
Regional Ring Of Fire,2098,0.073,28.391304347826086,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary,IN,Ale,Ale
Garce Selé,2097,0.069,28.391304347826086,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary,IN,Ale,Ale
Troll Destroyer,1980,0.085,59,178,Belgian IPA,12,18th Street Brewery,Gary,IN,IPA,IPA
Bitter Bitch,1979,0.061,60,178,American Pale Ale (APA),12,18th Street Brewery,Gary,IN,Ale,Ale
He Said Baltic-Style Porter,1593,0.082,54,369,Baltic Porter,12,21st Amendment Brewery,San Francisco,CA,Other,Porter
He Said Belgian-Style Tripel,1592,0.082,23.5,369,Tripel,12,21st Amendment Brewery,San Francisco,CA,Other,Other
Lower De Boom,1036,0.099,92,369,American Barleywine,8.4,21st Amendment Brewery,San Francisco,CA,Other,Other
Fireside Chat,1024,0.079,45,369,Winter Warmer,12,21st Amendment Brewery,San Francisco,CA,Other,Other
Marooned On Hog Island,976,0.079,41.23529411764706,369,American Stout,12,21st Amendment Brewery,San Francisco,CA,Other,Stout
Bitter American,876,0.044,42,369,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco,CA,Ale,Ale
Hell or High Watermelon Wheat (2009),802,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco,CA,Other,Other
Hell or High Watermelon Wheat (2009),801,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco,CA,Other,Other
21st Amendment Watermelon Wheat Beer (2006),800,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco,CA,Other,Other
21st Amendment IPA (2006),799,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco,CA,IPA,IPA
Brew Free! or Die IPA (2008),797,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco,CA,IPA,IPA
Brew Free! or Die IPA (2009),796,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco,CA,IPA,IPA
Special Edition: Allies Win The War!,531,0.085,52,369,English Strong Ale,12,21st Amendment Brewery,San Francisco,CA,Ale,Ale
Hop Crisis,432,0.097,94,369,American Double / Imperial IPA,12,21st Amendment Brewery,San Francisco,CA,IPA,IPA
Bitter American (2011),353,0.044,42,369,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco,CA,Ale,Ale
Fireside Chat (2010),321,0.079,45,369,Winter Warmer,12,21st Amendment Brewery,San Francisco,CA,Other,Other
Back in Black,173,0.068,65,369,American Black Ale,12,21st Amendment Brewery,San Francisco,CA,Ale,Ale
Monk's Blood,11,0.083,35,369,Belgian Dark Ale,12,21st Amendment Brewery,San Francisco,CA,Ale,Ale
Brew Free! or Die IPA,10,0.07,65,369,American IPA,12,21st Amendment Brewery,San Francisco,CA,IPA,IPA
Hell or High Watermelon Wheat,9,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco,CA,Other,Other
Bimini Twist,2519,0.07,82,68,American IPA,12,3 Daughters Brewing,St Petersburg,FL,IPA,IPA
Beach Blonde,2518,0.05,21.126984126984127,68,American Blonde Ale,12,3 Daughters Brewing,St Petersburg,FL,Ale,Ale
Rod Bender Red,2517,0.059,35.69135802469136,68,American Amber / Red Ale,12,3 Daughters Brewing,St Petersburg,FL,Ale,Ale
Passion Fruit Prussia,2545,0.035,11,61,Berliner Weissbier,12,4 Hands Brewing Company,Saint Louis,MO,Other,Other
Send Help,2544,0.045,18,61,American Blonde Ale,12,4 Hands Brewing Company,Saint Louis,MO,Ale,Ale
Cast Iron Oatmeal Brown,2324,0.055,29.76923076923077,61,American Brown Ale,12,4 Hands Brewing Company,Saint Louis,MO,Ale,Ale
Reprise Centennial Red,2288,0.06,35.69135802469136,61,American Amber / Red Ale,12,4 Hands Brewing Company,Saint Louis,MO,Ale,Ale
Alter Ego,2287,0.055,68.9,61,American Black Ale,12,4 Hands Brewing Company,Saint Louis,MO,Ale,Ale
Divided Sky,2286,0.065,67.57516339869281,61,American IPA,12,4 Hands Brewing Company,Saint Louis,MO,IPA,IPA
Resurrected,2285,0.065,67.57516339869281,61,American IPA,12,4 Hands Brewing Company,Saint Louis,MO,IPA,IPA
Contact High,1870,0.05,28,61,American Pale Wheat Ale,12,4 Hands Brewing Company,Saint Louis,MO,Ale,Ale
Galaxyfest,2603,0.065,67.57516339869281,28,American IPA,16,450 North Brewing Company,Columbus,IN,IPA,IPA
Citrafest,2602,0.05,45,28,American IPA,16,450 North Brewing Company,Columbus,IN,IPA,IPA
Barn Yeti,2220,0.09,72,28,Belgian Strong Dark Ale,16,450 North Brewing Company,Columbus,IN,Ale,Ale
